0,CombatZoneResize,239,226,404,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0,SansText,using my godly powers...,,,,,,
0,SansText,bye bye mercy,,,,,,,
0,GasterBlaster,2,550,0,550,120,90,0.4,1
1,sound,heartsplit,,,,,,,
0,MercyXY,1999,1999,,,,,,
0,SansText,what the flip?,,,,,,
0,SansText,the mercy is still there?,,,,,
0,SansText,goddammit asgore YOU         LIED,,,,,,,
2.5,SansText,you know what?,,,,,,,
0,SansText,im really pissed and lazy...,,,,,,,
0,SansText,so do me a favour...,,,,,,,
0,SansText,lets chill for 20        seconds alright?,,,,,,
20,SansText,times up.,,,,,,,
0,CombatZoneResize,241,226,406,391,,
0,CombatZoneSpeed,480,,,,,
0,HeartTeleport,320,304,,,,
0,HeartMode,0,,,,,
0,sansslam,3,,,,,,,
0,SansBody,HandUp,,,,,,,
0.2,BoneStab,3,35,0.3,3.6,,,,
1.2,sansslam,1,,,,,,,
0,SansBody,HandDown,,,,,,,
0,BoneStab,1,35,0.3,3.2,,,,
0,HeartMode,0,,,,,,,
0,Sound,Ding,,,,,,,
0,SansAnimation,,,,,,,,
0,SansText,wait where my bones go?,,,,,,,
2,BoneV,406,226,72.5,2,30,
0,BoneV,406,318.5,72.5,2,30,
1.9,BoneV,406,226,62.5,2,30,
0,BoneV,406,308.5,82.5,2,30,
0.3,GasterBlaster,0.7,640,286,560,326,180,0.6,0.1
0.9,GasterBlaster,0.7,640,286,560,366, 180,0.7,0.9
0.3,GasterBlaster,0.7,640, 286, 560, 276, 180, 0.7,0.1
0.2,GasterBlaster,0.7,640,286,560,326,180,0.7,0.11
1.9,BoneV,406,226,72.5,2,30,
0,BoneV,406,318.5,72.5,2,30,
0.3,GasterBlaster,0.7,640,286,560,326,180,0.6,0.1
0.9,GasterBlaster,0.7,640,286,560,366, 180,0.7,0.9
0.3,GasterBlaster,0.7,640, 286, 560, 276, 180, 0.7,0.1
0.2,GasterBlaster,0.7,640,286,560,326,180,0.7,0.11
1.9,BoneV,406,226,82.5,2,30,
0,BoneV,406,338.5,52.5,2,30,
0.3,GasterBlaster,0.7,640,286,560,326,180,0.6,0.1
0.9,GasterBlaster,0.7,640,286,560,366, 180,0.7,0.9
0.3,GasterBlaster,0.7,640, 286, 560, 276, 180, 0.7,0.1
0.2,GasterBlaster,0.7,640,286,560,326,180,0.7,0.11
1.9,BoneV,406,226,62.5,2,30,
0,BoneV,406,308.5,82.5,2,30,
0.3,GasterBlaster,0.7,640,286,560,326,180,0.6,0.1
0.9,GasterBlaster,0.7,640,286,560,366, 180,0.7,0.9
0.3,GasterBlaster,0.7,640, 286, 560, 276, 180, 0.7,0.1
0.2,GasterBlaster,0.7,640,286,560,326,180,0.7,0.11
0,SansText,that attack was supposed to          have more bones!,,,,,,,
0,SansText,where did they go??,,,,,,,
0,SansText,...well...,,,,,,,
0,SansText,heres a very creative attack,,,,,,,
0.2,SansSlam,1,,,,,,
0,HeartMode,1,,,,,,,
0.2,BoneVRepeat,128,257,95,0,180,8,120
0,BoneVRepeat,128,366,20,0,180,8,120
0,BoneVRepeat,503,257,95,2,180,8,120
0,BoneVRepeat,503,366,20,2,180,8,120
0,GasterBlaster,2,550,0,550,120,90,0.4,1
0.9,GasterBlaster,2,550,0,550,120,90,0.4,1
0.8,GasterBlaster,2,550,0,550,120,90,0.4,1
0.7,GasterBlaster,2,550,0,550,120,90,0.4,1
